Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
AlCuTe2,1.0186,5.249753008760489,0.0,1.457516724444741e-08,-7.83341694064752,Semiconductor
Ti4CuAg,0.0,6.220549317374229,3.9679,24.682517636409205,1.392389456004554,Metal
Tb2CuAg,0.0,9.14267230154522,2.0592,18.82659080334192,1.274771683303922,Metal
AlCuPt2,0.0,14.50983347572861,0.7504,10.888179040186749,1.0369552535958364,Metal
SrCuO2,0.0,5.7685415583261666,0.9448,5.450118064306562,0.7364059103802938,Metal
GaCuPt2,0.0,15.536142528775713,0.7424,11.534032213363089,1.0619811600200602,Metal
Ce2Ga12Cu,0.0,6.902222829828334,20.565,141.9442124954197,2.152117689693857,Metal
LaCuSb2,0.0,7.382214298930171,3.1564,23.30122121314319,1.3673786829262033,Metal
SmCuSb2,0.0,8.059209498098589,2.7701,22.3248162306829,1.3487878926317862,Metal
LuCuSb2,0.0,9.058148704220992,2.6593,24.088334849134885,1.381806779625436,Metal
HfCuGe2,0.0,10.000417442673173,3.4599,34.600444309904915,1.5390816756755645,Metal
ZrCuGe2,0.0,7.564415552916893,3.7863,28.641146608009233,1.4569904003539371,Metal
YCuAs2,0.0,6.707201083096394,1.8277,12.25875141957528,1.0884462386033549,Metal
DyCuAs2,0.0,8.40644725588043,1.7918,15.062672193086554,1.1779020247072118,Metal
ErCuAs2,0.0,8.663213180240628,1.7863,15.475097703863835,1.1896333996733124,Metal
TmCuAs2,0.0,8.769958882651643,1.7315,15.18518380531132,1.1814200530993788,Metal
BaCuS2,0.0,4.8143762295101205,3.8319,18.44820827385983,1.2659541930144187,Metal
PrCuSb2,0.0,7.599330496491842,2.6902,20.44371890166235,1.3105599008366737,Metal
NdCuSb2,0.0,7.765417793345012,2.8313,21.986227398297736,1.342150715462749,Metal
GdCuAs2,0.0,8.072680425256063,2.0465999999999998,16.521547758329056,1.2180507301186625,Metal
HfCuSi2,0.0,8.241939060802185,3.1019,25.565670772702298,1.4076571919033534,Metal
GdCuSb2,0.0,8.327511508805117,3.034,25.26566991771472,1.4025308180206406,Metal
DyCuSb2,0.0,8.597888943394357,2.5038,21.527394336470792,1.3329914662502464,Metal
HoCuSb2,0.0,8.713939673838917,2.5221,21.977427251389134,1.341976851150338,Metal
HoCuAs2,0.0,8.528849256662944,1.807,15.41163060678994,1.1878485910941483,Metal
TbCuSb2,0.0,8.475273673682075,2.5964,22.00520056634814,1.3425253312949976,Metal
YbCuAs2,0.0,8.92203818592041,4.0297,35.95313727780348,1.5557367929952248,Metal
CeCuSb2,0.0,7.653613243306524,12.260800000000001,93.83942125353265,1.972385320642758,Metal
TbCuAs2,0.0,8.242240697487944,1.7774,14.649758615715072,1.1658304688755763,Metal
Cu(BiO2)2,0.0,8.675057944387532,31.33,271.78956539766136,2.4342327791913143,Metal
CuPS3,1.1555,3.013374958658294,0.0,5.922833211861228e-10,-9.159716131488503,Semiconductor
Li3CuO3,1.178,3.31291605561265,0.0,4.213863439542703e-10,-9.28284034797201,Semiconductor
Rb2CuF4,0.0,4.420166370701942,0.8824000000000001,3.900354805507394,0.5911041155158913,Metal
Cs2CuF4,0.0,5.107720730698676,1.0357,5.2900663607846194,0.723461120047518,Metal
Tl2CuF4,0.0,7.8113830578741394,1.1156,8.714378939364389,0.9402364410415719,Metal
HfCuGe,0.0,11.02678333030265,1.5844,17.47083550853152,1.2423136747660821,Metal
La2CuO4,0.0,6.721571458851243,2.3406,15.73251015658722,1.1967980207940212,Metal
Pr2CuO4,0.0,6.9636096800251455,0.7549,5.256828947450982,0.7207238456995495,Metal
Gd2CuO4,0.0,8.214409459374604,3.1703,26.042142309055308,1.415676707806104,Metal
LiCuO,1.4376,4.2894703998712185,0.0,3.5988271078922573e-12,-9.98464516141949,Semiconductor
NaCuO,1.2722,3.837715995425951,1.1737,7.892897646440253e-11,-9.74731932237526,Semiconductor
RbCuO,0.9215000000000001,4.192598702920158,0.0,7.614215609100694e-08,-7.117804830559834,Semiconductor
Sr2CuO4,0.0,5.521676770588147,4.34,23.964077184352558,1.379560709713514,Metal
KCuO,1.029399999999999,3.359754678548887,0.0,7.569360993327299e-09,-8.115240819705884,Semiconductor
NdCuS2,1.0776,5.675716213524164,0.6231,5.0336013974034686e-09,-8.289577855498747,Semiconductor
LaCuSe2,0.8712000000000001,6.411909168631721,0.0,3.0807987259636085e-07,-6.511195728712266,Semiconductor
PrCuSe2,0.745499999999999,6.593966218591812,0.0,3.603610907356272e-06,-5.443250055755048,Semiconductor
SmCuSe2,0.8167999999999991,7.048720440069294,0.0,9.699771175081947e-07,-6.013193739571901,Semiconductor
MnCuSe4,0.0,5.916126306708771,6.2661999999999995,37.071630663098496,1.5690416896835495,Metal
TbCuSe2,0.8242,7.461167152896162,0.0,8.898071670723217e-07,-6.050655295524787,Semiconductor
PrCuS2,1.0678,5.511875987223327,0.0,5.908542065499649e-09,-8.221230894007237,Semiconductor
KCuCl3,0.268199999999999,2.872467970229371,0.0,0.016043535075980022,-1.7946999291780041,Semiconductor
Rb3CuO2,1.4422000000000001,4.116188534417284,0.0,3.1594484804079374e-12,-9.986490988389042,Semiconductor
Ga2CuCl8,0.5977,2.628110642978884,1.8588,2.5049336145991095e-05,-4.601202045502951,Semiconductor
CuSe2Br,0.8486,4.720447722011455,0.4669,3.5116036145365614e-07,-6.454370856109561,Semiconductor
CuTe2Cl,0.5968999999999991,5.137125112962343,0.3754,4.9727078260852057e-05,-4.303406183850619,Semiconductor
CuTe2Br,0.7460999999999991,5.438343208333977,0.0,2.9377688313248936e-06,-5.531967598301879,Semiconductor
CuTe2I,0.8277999999999991,5.578052191083276,0.0,6.204841539955163e-07,-6.207199317891665,Semiconductor
CuSe2Cl,0.8067000000000001,4.31560000952706,0.0,7.219967078304609e-07,-6.1414046350279135,Semiconductor
La2CuS4,1.6332,5.033170466092383,0.0,9.605150124198503e-14,-9.999583053839803,Semiconductor
Na2CuF4,0.9147000000000001,3.719826018700392,0.0,7.705244202399366e-08,-7.112650323123055,Semiconductor
